year,team_full,league,team_wins,team_losses,team_ties,team
1972,Chicago Cubs,NL,85,70,1,CHC
1972,Chicago White Sox,AL,87,67,0,CHW
1972,Cincinnati Reds,NL,95,59,0,CIN
1972,Cleveland Indians,AL,72,84,0,CLE
1972,Detroit Tigers,AL,86,70,0,DET
1972,Houston Astros,NL,84,69,0,HOU
1972,Kansas City Royals,AL,76,78,0,KCR
1972,California Angels,AL,75,80,0,CAL
1972,Los Angeles Dodgers,NL,85,70,0,LAD
1972,Milwaukee Brewers,AL,65,91,0,MIL
1972,Minnesota Twins,AL,77,77,0,MIN
1972,New York Mets,NL,83,73,0,NYM
1972,New York Yankees,AL,79,76,0,NYY
1972,Oakland Athletics,AL,93,62,0,OAK
1972,Philadelphia Phillies,NL,59,97,0,PHI
1972,Pittsburgh Pirates,NL,96,59,0,PIT
1972,San Diego Padres,NL,58,95,0,SDP
1972,San Francisco Giants,NL,69,86,0,SFG
1972,St. Louis Cardinals,NL,75,81,0,STL
1972,Texas Rangers,AL,54,100,0,TEX
1972,Montreal Expos,NL,70,86,0,MON
1973,Atlanta Braves,NL,76,85,1,ATL
1973,Baltimore Orioles,AL,97,65,0,BAL
1973,Boston Red Sox,AL,89,73,0,BOS
1973,Chicago Cubs,NL,77,84,0,CHC
1973,Chicago White Sox,AL,77,85,0,CHW
1973,Cincinnati Reds,NL,99,63,0,CIN
1973,Cleveland Indians,AL,71,91,0,CLE
1973,Detroit Tigers,AL,85,77,0,DET
1973,Houston Astros,NL,82,80,0,HOU
1973,Kansas City Royals,AL,88,74,0,KCR
1973,California Angels,AL,79,83,0,CAL
1973,Los Angeles Dodgers,NL,95,66,1,LAD
1973,Milwaukee Brewers,AL,74,88,0,MIL
1973,Minnesota Twins,AL,81,81,0,MIN
1973,New York Mets,NL,82,79,0,NYM
1973,New York Yankees,AL,80,82,0,NYY
1973,Oakland Athletics,AL,94,68,0,OAK
1973,Philadelphia Phillies,NL,71,91,0,PHI
1973,Pittsburgh Pirates,NL,80,82,0,PIT
1973,San Diego Padres,NL,60,102,0,SDP
1973,San Francisco Giants,NL,88,74,0,SFG
1973,St. Louis Cardinals,NL,81,81,0,STL
1973,Texas Rangers,AL,57,105,0,TEX
1973,Montreal Expos,NL,79,83,0,MON
1974,Atlanta Braves,NL,88,74,1,ATL
1974,Baltimore Orioles,AL,91,71,0,BAL
1974,Boston Red Sox,AL,84,78,0,BOS
1974,Chicago Cubs,NL,66,96,0,CHC
1974,Chicago White Sox,AL,80,80,3,CHW
1974,Cincinnati Reds,NL,98,64,1,CIN
1974,Cleveland Indians,AL,77,85,0,CLE
1974,Detroit Tigers,AL,72,90,0,DET
1974,Houston Astros,NL,81,81,0,HOU
1974,Kansas City Royals,AL,77,85,0,KCR
1974,California Angels,AL,68,94,1,CAL
1974,Los Angeles Dodgers,NL,102,60,0,LAD
1974,Milwaukee Brewers,AL,76,86,0,MIL
1974,Minnesota Twins,AL,82,80,1,MIN
1974,New York Mets,NL,71,91,0,NYM
1974,New York Yankees,AL,89,73,0,NYY
1974,Oakland Athletics,AL,90,72,0,OAK
1974,Philadelphia Phillies,NL,80,82,0,PHI
1974,Pittsburgh Pirates,NL,88,74,0,PIT
1974,San Diego Padres,NL,60,102,0,SDP
1974,San Francisco Giants,NL,72,90,0,SFG
1974,St. Louis Cardinals,NL,86,75,0,STL
1974,Texas Rangers,AL,84,76,1,TEX
1974,Montreal Expos,NL,79,82,0,MON
1975,Atlanta Braves,NL,67,94,0,ATL
1975,Baltimore Orioles,AL,90,69,0,BAL
1975,Boston Red Sox,AL,95,65,0,BOS
1975,Chicago Cubs,NL,75,87,0,CHC
1975,Chicago White Sox,AL,75,86,0,CHW
1975,Cincinnati Reds,NL,108,54,0,CIN
1975,Cleveland Indians,AL,79,80,0,CLE
1975,Detroit Tigers,AL,57,102,0,DET
1975,Houston Astros,NL,64,97,1,HOU
1975,Kansas City Royals,AL,91,71,0,KCR
1975,California Angels,AL,72,89,0,CAL
1975,Los Angeles Dodgers,NL,88,74,0,LAD
1975,Milwaukee Brewers,AL,68,94,0,MIL
1975,Minnesota Twins,AL,76,83,0,MIN
1975,New York Mets,NL,82,80,0,NYM
1975,New York Yankees,AL,83,77,0,NYY
1975,Oakland Athletics,AL,98,64,0,OAK
1975,Philadelphia Phillies,NL,86,76,0,PHI
1975,Pittsburgh Pirates,NL,92,69,0,PIT
1975,San Diego Padres,NL,71,91,0,SDP
1975,San Francisco Giants,NL,80,81,0,SFG
1975,St. Louis Cardinals,NL,82,80,1,STL
1975,Texas Rangers,AL,79,83,0,TEX
1975,Montreal Expos,NL,75,87,0,MON
1976,Atlanta Braves,NL,70,92,0,ATL
1976,Baltimore Orioles,AL,88,74,0,BAL
1976,Boston Red Sox,AL,83,79,0,BOS
1976,Chicago Cubs,NL,75,87,0,CHC
1976,Chicago White Sox,AL,64,97,0,CHW
1976,Cincinnati Reds,NL,102,60,0,CIN
1976,Cleveland Indians,AL,81,78,0,CLE
